iter	RMSE
0	1.212262102
1	1.190153063
2	1.169912974
3	1.149688844
4	1.129840642
5	1.110308978
6	1.092658906
7	1.075800458
8	1.060165244
9	1.043907893
10	1.029030547
11	1.013948924
12	0.9996770771
13	0.9858146584
14	0.9726381766
15	0.9607306421
16	0.9481536732
17	0.936050591
18	0.9244604679
19	0.9138685137
20	0.9036060267
21	0.8937046272
22	0.8837174971
23	0.8750770642
24	0.8663938808
25	0.8583280693
26	0.8500989371
27	0.8423048437
28	0.8348195624
29	0.8276980263
30	0.8205488066
31	0.8144927247
32	0.8074109295
33	0.80142893
34	0.7955058875
35	0.7896992973
36	0.7842490519
37	0.7793144958
38	0.7744230667
39	0.7700830677
40	0.7652700396
41	0.7603506275
42	0.7558613258
43	0.751737633
44	0.7473917995
45	0.7431769442
46	0.739694019
47	0.7356840385
48	0.7322516388
49	0.7283884735
50	0.7255526908
51	0.7226521246
52	0.7194784529
53	0.7169445437
54	0.714432573
55	0.7119515217
56	0.7094480497
57	0.7069191516
58	0.7048381984
59	0.7020256167
60	0.6999752855
61	0.6981498137
62	0.6964764105
63	0.694446133
64	0.692404952
65	0.6903475306
66	0.6883713899
67	0.6868549009
68	0.6854622911
69	0.6839429913
70	0.6819579483
71	0.6806556256
72	0.6794809596
73	0.6777991707
74	0.6766082005
75	0.6753546433
76	0.6740536349
77	0.6729878516
78	0.6719412285
79	0.6704261188
80	0.6690086101
81	0.6678977018
82	0.6671209076
83	0.6656715874
84	0.6646532032
85	0.6633520324
86	0.6624948998
87	0.6618206267
88	0.660662799
89	0.6599389451
90	0.6586149513
91	0.6580240902
92	0.6572304898
93	0.6561826589
94	0.6551540637
95	0.6544889144
96	0.6539701678
97	0.6531643722
98	0.6523738736
99	0.6518566938
100	0.6509679958
101	0.6502926704
102	0.6494054092
103	0.6488523253
104	0.6481963759
105	0.647762568
106	0.6472221177
107	0.6464259161
108	0.645819055
109	0.6448659836
110	0.6445219879
111	0.6439687675
112	0.6434242492
113	0.6429452864
114	0.6424479353
115	0.6419342636
116	0.6415285642
117	0.640799218
118	0.6404197277
119	0.6396747159
120	0.6392997844
121	0.6389944822
122	0.6386951776
123	0.6380936018
124	0.6376982235
125	0.6372783387
126	0.6369507346
127	0.6365771215
128	0.6363361366
129	0.6360195244
130	0.63544421
131	0.6348273125
132	0.6345594765
133	0.6337497626
134	0.6331057198
135	0.6326621656
136	0.632209004
137	0.6314633949
138	0.6309529612
139	0.6305421555
140	0.6299589803
141	0.6295520019
142	0.6291724205
143	0.6287648847
144	0.6285576352
145	0.6282735022
146	0.6276122831
147	0.6273506994
148	0.6268241858
149	0.6266432118
150	0.6264203234
151	0.6259318938
152	0.6253694206
153	0.6251401979
154	0.6249182599
155	0.6247077974
156	0.6245008449
157	0.6239866367
158	0.6234657442
159	0.6229600822
160	0.6227191693
161	0.6222119763
162	0.6219513956
163	0.6217376417
164	0.6215680989
165	0.6212912683
166	0.6209303135
167	0.6206600716
168	0.6199906274
169	0.6196028131
170	0.6193223849
171	0.6190339971
172	0.6189080128
173	0.6186532348
174	0.6184835008
175	0.6182418887
176	0.6180353418
177	0.6176473279
178	0.6174237367
179	0.6171085028
180	0.616758295
181	0.6163674919
182	0.6161282938
183	0.6158676448
184	0.6153114534
185	0.6149876207
186	0.61449204
187	0.6143845943
188	0.6142163341
189	0.6138477536
190	0.6136605578
191	0.6130713462
192	0.6128765657
193	0.612420789
194	0.6119720422
195	0.6115929439
196	0.6113350107
197	0.6111034112
198	0.6106261043
199	0.6103897773
200	0.6099020503
201	0.6096087974
202	0.6094092713
203	0.6091998207
204	0.6091124105
205	0.6088735058
206	0.6087746302
207	0.6084237975
208	0.6082430653
209	0.6079472606
210	0.6078796155
211	0.6075798319
212	0.6073515713
213	0.6066663462
214	0.6064818447
215	0.6058404788
216	0.6054431571
217	0.6050355742
218	0.6047494894
219	0.6045278055
220	0.6043122787
221	0.604020311
222	0.603683473
223	0.6034744052
224	0.6033534295
225	0.6031171078
226	0.6028846748
227	0.6024907939
228	0.6023355565
229	0.6021273558
230	0.6018826634
231	0.601575776
232	0.6014546031
233	0.6013240906
234	0.6010739729
235	0.6008839549
236	0.600547471
237	0.6002930888
238	0.5998093133
239	0.5996356953
240	0.5992297798
241	0.5991164563
242	0.5986627275
243	0.5985660172
244	0.5983588141
245	0.5981623849
246	0.5978145191
247	0.5974671588
248	0.597235197
249	0.5969883219
250	0.5967188477
251	0.5965596771
252	0.5963472219
253	0.5961511747
254	0.5958460023
255	0.5957323212
256	0.5956171363
257	0.5954608197
258	0.5952720112
259	0.5950912788
260	0.5947624258
261	0.5946744184
262	0.5944841167
263	0.5942262327
264	0.5940817284
265	0.5937727319
266	0.59365786
267	0.593330425
268	0.5932580129
269	0.593100413
270	0.592942838
271	0.5928021972
272	0.5926177206
273	0.5922506333
274	0.5917380632
275	0.5915017107
276	0.5913322192
277	0.5910298767
278	0.5908901358
279	0.5906286633
280	0.5904535079
281	0.5900555359
282	0.5898449752
283	0.589514761
284	0.5889353104
285	0.5886676223
286	0.5884546209
287	0.5882127447
288	0.5881188969
289	0.5878923422
290	0.5878159833
291	0.5877016967
292	0.5874609176
293	0.5873153548
294	0.5867642292
295	0.5866119125
296	0.5864047303
297	0.5862428458
298	0.585756266
299	0.5853108604
