iter	Passed	Remaining
0	6	1939
1	13	1962
2	19	1899
3	26	1943
4	33	1959
5	39	1953
6	46	1950
7	52	1927
8	59	1934
9	66	1931
10	74	1948
11	81	1958
12	90	2006
13	104	2142
14	111	2116
15	117	2084
16	124	2073
17	131	2054
18	137	2038
19	146	2047
20	153	2042
21	162	2058
22	168	2027
23	174	2010
24	181	1992
25	187	1978
26	194	1961
27	200	1944
28	206	1932
29	213	1917
30	219	1907
31	226	1897
32	232	1879
33	238	1869
34	245	1858
35	252	1849
36	258	1840
37	265	1830
38	272	1826
39	279	1816
40	287	1813
41	293	1803
42	300	1796
43	307	1786
44	313	1773
45	319	1766
46	326	1756
47	333	1749
48	339	1740
49	346	1732
50	353	1724
51	359	1712
52	365	1704
53	372	1695
54	378	1683
55	384	1675
56	390	1664
57	396	1655
58	403	1647
59	410	1640
60	417	1636
61	424	1631
62	431	1624
63	438	1616
64	445	1608
65	451	1602
66	458	1593
67	464	1585
68	470	1576
69	477	1568
70	484	1561
71	491	1555
72	498	1549
73	505	1543
74	512	1536
75	520	1532
76	528	1532
77	540	1537
78	547	1532
79	555	1526
80	561	1519
81	568	1510
82	574	1501
83	580	1493
84	587	1485
85	593	1477
86	600	1469
87	606	1461
88	612	1452
89	620	1446
90	626	1438
91	633	1431
92	639	1424
93	647	1419
94	656	1416
95	662	1408
96	669	1400
97	675	1392
98	681	1384
99	688	1376
100	694	1368
101	701	1362
102	708	1354
103	714	1347
104	720	1338
105	727	1331
106	734	1325
107	741	1317
108	748	1310
109	754	1303
110	761	1296
111	768	1289
112	775	1282
113	782	1277
114	789	1269
115	796	1262
116	802	1255
117	809	1248
118	816	1241
119	824	1236
120	831	1229
121	838	1222
122	845	1216
123	852	1210
124	861	1205
125	867	1198
126	873	1190
127	879	1182
128	886	1174
129	893	1167
130	899	1160
131	906	1153
132	912	1146
133	919	1139
134	926	1132
135	932	1124
136	939	1118
137	946	1110
138	953	1104
139	960	1097
140	967	1090
141	974	1084
142	981	1077
143	988	1071
144	995	1063
145	1001	1056
146	1008	1050
147	1015	1042
148	1021	1035
149	1028	1028
150	1035	1021
151	1041	1014
152	1049	1008
153	1057	1002
154	1063	994
155	1070	987
156	1076	980
157	1083	973
158	1091	967
159	1099	962
160	1108	957
161	1117	951
162	1123	944
163	1131	938
164	1138	931
165	1146	925
166	1153	918
167	1159	910
168	1166	904
169	1172	896
170	1179	890
171	1186	882
172	1192	875
173	1198	868
174	1206	861
175	1215	856
176	1221	848
177	1228	842
178	1235	835
179	1241	827
180	1248	820
181	1254	813
182	1261	806
183	1268	799
184	1274	792
185	1281	785
186	1287	778
187	1294	771
188	1301	764
189	1307	756
190	1313	749
191	1320	742
192	1326	735
193	1334	728
194	1341	722
195	1349	715
196	1355	708
197	1361	701
198	1368	694
199	1374	687
200	1382	680
201	1388	673
202	1396	667
203	1403	660
204	1410	653
205	1416	646
206	1423	639
207	1429	632
208	1436	625
209	1444	618
210	1450	611
211	1457	604
212	1464	597
213	1469	590
214	1476	583
215	1483	576
216	1490	569
217	1496	563
218	1503	556
219	1510	549
220	1517	542
221	1524	535
222	1530	528
223	1536	521
224	1543	514
225	1550	507
226	1557	500
227	1563	493
228	1570	486
229	1578	480
230	1585	473
231	1591	466
232	1598	459
233	1605	452
234	1611	445
235	1618	438
236	1624	431
237	1632	425
238	1640	418
239	1647	411
240	1653	404
241	1660	398
242	1667	391
243	1675	384
244	1683	377
245	1692	371
246	1700	364
247	1707	357
248	1713	351
249	1719	343
250	1726	337
251	1733	330
252	1740	323
253	1747	316
254	1754	309
255	1761	302
256	1770	296
257	1777	289
258	1783	282
259	1790	275
260	1797	268
261	1803	261
262	1809	254
263	1816	247
264	1823	240
265	1829	233
266	1835	226
267	1842	220
268	1849	213
269	1856	206
270	1862	199
271	1869	192
272	1875	185
273	1882	178
274	1888	171
275	1895	164
276	1902	158
277	1908	151
278	1915	144
279	1922	137
280	1928	130
281	1934	123
282	1941	116
283	1947	109
284	1954	102
285	1959	95
286	1966	89
287	1972	82
288	1978	75
289	1985	68
290	1991	61
291	1998	54
292	2004	47
293	2011	41
294	2018	34
295	2025	27
296	2031	20
297	2037	13
298	2044	6
299	2050	0
