Model,Type,RMSE,MAE,R2,N_nonzero
CAT_CAT,Delta,37.9571,17.5145,0.3996,6277
XGB_XGB,Delta,38.026,18.0499,0.3974,6277
LGBM_LGBM,Delta,38.9555,18.3813,0.3676,6277
RF_XGB,Delta,39.5443,18.6272,0.3483,6277
Logistic_XGB,Delta,39.6658,20.4337,0.3443,6277
Logistic_RF,Delta,39.7498,20.282,0.3415,6277
RF_RF,Delta,40.1588,18.3503,0.3279,6277
XGB,Direct,47.9971,24.3996,0.0399,6277
LGBM,Direct,48.3659,24.633,0.0251,6277
CatBoost,Direct,48.523,24.543,0.0187,6277
RF,Direct,48.5286,24.2344,0.0185,6277
ET,Direct,52.7966,28.3353,-0.1617,6277
Huber,Direct,54.8933,30.6578,-0.2558,6277
